OBLAST_ID,NAME_EN,SUBDIVISION_NAME_UKR,SUBDIVISION_NAME_EN,SUBDIVISION_CATEGORY
UA43,Avtonomna Respublika Krym,Автономна Республіка Крим,Crimea,republic
UA71,Cherkaska oblast,Черкаська область,Cherkasy,region
UA74,Chernihivska oblast,Чернігівська область,Chernihiv,region
UA77,Chernivetska oblast,Чернівецька область,Chernivtsi,region
UA12,Dnipropetrovska oblast,Дніпропетровська область,Dnipropetrovsk,region
UA14,Donetska oblast,Донецька область,Donetsk,region
UA26,Ivano-Frankivska oblast,Івано-Франківська область,Ivano-Frankivsk,region
UA63,Kharkivska oblast,Харківська область,Kharkiv,region
UA65,Khersonska oblast,Херсонська область,Kherson,region
UA68,Khmelnytska oblast,Хмельницька область,Khmelnytskyi,region
UA35,Kirovohradska oblast,Кіровоградська область,Kirovohrad,region
UA30,Kyiv,Київ,Kyiv City,city
UA32,Kyivska oblast,Київська область,Kyiv,region
UA09,Luhanska oblast,Луганська область,Luhansk,region
UA46,Lvivska oblast,Львівська область,Lviv,region
UA48,Mykolaivska oblast,Миколаївська область,Mykolaiv,region
UA51,Odeska oblast,Одеська область,Odesa,region
UA53,Poltavska oblast,Полтавська область,Poltava,region
UA56,Rivnenska oblast,Рівненська область,Rivne,region
UA40,Sevastopol,Севастополь,Sevastopol,city
UA59,Sumska oblast,Сумська область,Sumy,region
UA61,Ternopilska oblast,Тернопільська область,Ternopil,region
UA05,Vinnytska oblast,Вінницька область,Vinnytsia,region
UA07,Volynska oblast,Волинська область,Volyn,region
UA21,Zakarpatska oblast,Закарпатська область,Transcarpathia,region
UA23,Zaporizka oblast,Запорізька область,Zaporizhzhia,region
UA18,Zhytomyrska oblast,Житомирська область,Zhytomyr,region