url,bounds,start_date,end_date
https://upload.wikimedia.org/wikipedia/commons/4/46/UK-MOD-Ukraine-2022-02-24.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-02-24,2022-02-24
https://upload.wikimedia.org/wikipedia/commons/a/a7/UK-MOD-Ukraine-2022-02-25.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-02-25,2022-02-25
https://upload.wikimedia.org/wikipedia/commons/d/db/UK-MOD-Ukraine-2022-02-26.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-02-26,2022-02-26
https://upload.wikimedia.org/wikipedia/commons/e/e8/UK-MOD-Ukraine-2022-02-27.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-02-27,2022-02-27
https://upload.wikimedia.org/wikipedia/commons/9/9f/UK-MOD-Ukraine-2022-02-28.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-02-28,2022-02-28
https://upload.wikimedia.org/wikipedia/commons/a/a0/UK-MOD-Ukraine-2022-03-01.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-01,2022-03-01
https://upload.wikimedia.org/wikipedia/commons/c/c4/UK-MOD-Ukraine-2022-03-02.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-02,2022-03-02
https://upload.wikimedia.org/wikipedia/commons/0/09/UK-MOD-Ukraine-2022-03-03.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-03,2022-03-03
https://upload.wikimedia.org/wikipedia/commons/6/6e/UK-MOD-Ukraine-2022-03-04.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-04,2022-03-04
https://upload.wikimedia.org/wikipedia/commons/6/66/UK-MOD-Ukraine-2022-03-05.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-05,2022-03-05
https://upload.wikimedia.org/wikipedia/commons/4/4a/UK-MOD-Ukraine-2022-03-06.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-06,2022-03-06
https://upload.wikimedia.org/wikipedia/commons/b/b0/UK-MOD-Ukraine-2022-03-07.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-07,2022-03-07
https://upload.wikimedia.org/wikipedia/commons/0/02/UK-MOD-Ukraine-2022-03-08.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-08,2022-03-08
https://upload.wikimedia.org/wikipedia/commons/7/72/UK-MOD-Ukraine-2022-03-09.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-09,2022-03-09
https://upload.wikimedia.org/wikipedia/commons/a/a8/UK-MOD-Ukraine-2022-03-10.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-10,2022-03-10
https://upload.wikimedia.org/wikipedia/commons/9/98/UK-MOD-Ukraine-2022-03-11.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-11,2022-03-11
https://upload.wikimedia.org/wikipedia/commons/8/87/UK-MOD-Ukraine-2022-03-12.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-12,2022-03-12
https://upload.wikimedia.org/wikipedia/commons/1/10/UK-MOD-Ukraine-2022-03-13.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-13,2022-03-13
https://upload.wikimedia.org/wikipedia/commons/6/64/UK-MOD-Ukraine-2022-03-14.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-14,2022-03-14
https://upload.wikimedia.org/wikipedia/commons/f/f1/UK-MOD-Ukraine-2022-03-15.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-15,2022-03-15
https://upload.wikimedia.org/wikipedia/commons/5/55/UK-MOD-Ukraine-2022-03-16.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-16,2022-03-16
https://upload.wikimedia.org/wikipedia/commons/6/6e/UK-MOD-Ukraine-2022-03-17.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-17,2022-03-17
https://upload.wikimedia.org/wikipedia/commons/b/b5/UK-MOD-Ukraine-2022-03-18.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-18,2022-03-18
https://upload.wikimedia.org/wikipedia/commons/9/91/UK-MOD-Ukraine-2022-03-19.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-19,2022-03-19
https://upload.wikimedia.org/wikipedia/commons/0/0e/UK-MOD-Ukraine-2022-03-20.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-20,2022-03-20
https://upload.wikimedia.org/wikipedia/commons/1/14/UK-MOD-Ukraine-2022-03-21.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-21,2022-03-21
https://upload.wikimedia.org/wikipedia/commons/9/93/UK-MOD-Ukraine-2022-03-22.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-22,2022-03-22
https://upload.wikimedia.org/wikipedia/commons/f/fa/UK-MOD-Ukraine-2022-03-23.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-23,2022-03-23
https://upload.wikimedia.org/wikipedia/commons/e/ea/UK-MOD-Ukraine-2022-03-24.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-24,2022-03-24
https://upload.wikimedia.org/wikipedia/commons/3/38/UK-MOD-Ukraine-2022-03-25.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-25,2022-03-25
https://upload.wikimedia.org/wikipedia/commons/3/37/UK-MOD-Ukraine-2022-03-26.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-26,2022-03-26
https://upload.wikimedia.org/wikipedia/commons/6/6b/UK-MOD-Ukraine-2022-03-27.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-27,2022-03-27
https://upload.wikimedia.org/wikipedia/commons/b/bd/UK-MOD-Ukraine-2022-03-28.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-28,2022-03-28
https://upload.wikimedia.org/wikipedia/commons/7/76/UK-MOD-Ukraine-2022-03-29.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-29,2022-03-29
https://upload.wikimedia.org/wikipedia/commons/4/42/UK-MOD-Ukraine-2022-03-30.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-30,2022-03-30
https://upload.wikimedia.org/wikipedia/commons/1/1b/UK-MOD-Ukraine-2022-03-31.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-03-31,2022-03-31
https://upload.wikimedia.org/wikipedia/commons/a/ab/UK-MOD-Ukraine-2022-04-01.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-01,2022-04-01
https://upload.wikimedia.org/wikipedia/commons/9/9d/UK-MOD-Ukraine-2022-04-02.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-02,2022-04-02
https://upload.wikimedia.org/wikipedia/commons/c/ca/UK-MOD-Ukraine-2022-04-03.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-03,2022-04-03
https://upload.wikimedia.org/wikipedia/commons/b/b0/UK-MOD-Ukraine-2022-04-04.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-04,2022-04-04
https://upload.wikimedia.org/wikipedia/commons/6/62/UK-MOD-Ukraine-2022-04-05.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-05,2022-04-05
https://upload.wikimedia.org/wikipedia/commons/9/99/UK-MOD-Ukraine-2022-04-06.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-06,2022-04-06
https://upload.wikimedia.org/wikipedia/commons/e/e0/UK-MOD-Ukraine-2022-04-07.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-07,2022-04-07
https://upload.wikimedia.org/wikipedia/commons/f/f3/UK-MOD-Ukraine-2022-04-08.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-08,2022-04-08
https://upload.wikimedia.org/wikipedia/commons/c/c5/UK-MOD-Ukraine-2022-04-09.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-09,2022-04-09
https://upload.wikimedia.org/wikipedia/commons/8/86/UK-MOD-Ukraine-2022-04-10.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-10,2022-04-10
https://upload.wikimedia.org/wikipedia/commons/7/72/UK-MOD-Ukraine-2022-04-11.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-11,2022-04-11
https://upload.wikimedia.org/wikipedia/commons/d/dd/UK-MOD-Ukraine-2022-04-12.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-12,2022-04-12
https://upload.wikimedia.org/wikipedia/commons/6/6e/UK-MOD-Ukraine-2022-04-13.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-13,2022-04-13
https://upload.wikimedia.org/wikipedia/commons/0/06/UK-MOD-Ukraine-2022-04-14.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-14,2022-04-14
https://upload.wikimedia.org/wikipedia/commons/3/39/UK-MOD-Ukraine-2022-04-15.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-15,2022-04-15
https://upload.wikimedia.org/wikipedia/commons/3/33/UK-MOD-Ukraine-2022-04-16.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-16,2022-04-16
https://upload.wikimedia.org/wikipedia/commons/6/6f/UK-MOD-Ukraine-2022-04-17.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-17,2022-04-17
https://upload.wikimedia.org/wikipedia/commons/8/80/UK-MOD-Ukraine-2022-04-18.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-18,2022-04-18
https://upload.wikimedia.org/wikipedia/commons/e/e5/UK-MOD-Ukraine-2022-04-19.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-19,2022-04-19
https://upload.wikimedia.org/wikipedia/commons/0/0b/UK-MOD-Ukraine-2022-04-20.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-20,2022-04-20
https://upload.wikimedia.org/wikipedia/commons/7/75/UK-MOD-Ukraine-2022-04-21.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-21,2022-04-21
https://upload.wikimedia.org/wikipedia/commons/2/2f/UK-MOD-Ukraine-2022-04-22.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-22,2022-04-22
https://upload.wikimedia.org/wikipedia/commons/6/6f/UK-MOD-Ukraine-2022-04-23.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-23,2022-04-23
https://upload.wikimedia.org/wikipedia/commons/5/50/UK-MOD-Ukraine-2022-04-24.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-24,2022-04-24
https://upload.wikimedia.org/wikipedia/commons/b/bb/UK-MOD-Ukraine-2022-04-25.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-25,2022-04-25
https://upload.wikimedia.org/wikipedia/commons/0/0f/UK-MOD-Ukraine-2022-04-26.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-26,2022-04-26
https://upload.wikimedia.org/wikipedia/commons/8/8b/UK-MOD-Ukraine-2022-04-27.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-27,2022-04-27
https://upload.wikimedia.org/wikipedia/commons/6/64/UK-MOD-Ukraine-2022-04-28.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-28,2022-04-28
https://upload.wikimedia.org/wikipedia/commons/6/65/UK-MOD-Ukraine-2022-04-29.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-29,2022-04-29
https://upload.wikimedia.org/wikipedia/commons/d/d2/UK-MOD-Ukraine-2022-04-30.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-04-30,2022-04-30
https://upload.wikimedia.org/wikipedia/commons/a/ae/UK-MOD-Ukraine-2022-05-01.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-01,2022-05-01
https://upload.wikimedia.org/wikipedia/commons/b/b8/UK-MOD-Ukraine-2022-05-02.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-02,2022-05-02
https://upload.wikimedia.org/wikipedia/commons/e/ef/UK-MOD-Ukraine-2022-05-03.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-03,2022-05-03
https://upload.wikimedia.org/wikipedia/commons/7/71/UK-MOD-Ukraine-2022-05-04.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-04,2022-05-04
https://upload.wikimedia.org/wikipedia/commons/6/6f/UK-MOD-Ukraine-2022-05-05.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-05,2022-05-05
https://upload.wikimedia.org/wikipedia/commons/b/b2/UK-MOD-Ukraine-2022-05-06.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-06,2022-05-06
https://upload.wikimedia.org/wikipedia/commons/9/9b/UK-MOD-Ukraine-2022-05-07.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-07,2022-05-07
https://upload.wikimedia.org/wikipedia/commons/f/fa/UK-MOD-Ukraine-2022-05-08.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-08,2022-05-08
https://upload.wikimedia.org/wikipedia/commons/b/b8/UK-MOD-Ukraine-2022-05-09.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-09,2022-05-09
https://upload.wikimedia.org/wikipedia/commons/8/8e/UK-MOD-Ukraine-2022-05-10.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-10,2022-05-10
https://upload.wikimedia.org/wikipedia/commons/b/b3/UK-MOD-Ukraine-2022-05-11.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-11,2022-05-11
https://upload.wikimedia.org/wikipedia/commons/f/fb/UK-MOD-Ukraine-2022-05-12.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-12,2022-05-12
https://upload.wikimedia.org/wikipedia/commons/7/78/UK-MOD-Ukraine-2022-05-13.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-13,2022-05-13
https://upload.wikimedia.org/wikipedia/commons/a/a2/UK-MOD-Ukraine-2022-05-15.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-14,2022-05-15
https://upload.wikimedia.org/wikipedia/commons/1/10/UK-MOD-Ukraine-2022-05-16.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-16,2022-05-16
https://upload.wikimedia.org/wikipedia/commons/0/0d/UK-MOD-Ukraine-2022-05-17.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-17,2022-05-17
https://upload.wikimedia.org/wikipedia/commons/d/d1/UK-MOD-Ukraine-2022-05-18.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-18,2022-05-18
https://upload.wikimedia.org/wikipedia/commons/5/56/UK-MOD-Ukraine-2022-05-19.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-19,2022-05-19
https://upload.wikimedia.org/wikipedia/commons/9/91/UK-MOD-Ukraine-2022-05-20.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-20,2022-05-20
https://upload.wikimedia.org/wikipedia/commons/5/59/UK-MOD-Ukraine-2022-05-22.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-05-21,2022-05-22
